Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Corrida (ms)
20:30:00.000-03:00,20:45:00.000-03:00,,14.825520298408083,,,,,,,,,,,,,,,,,,900000,,
20:45:00.000-03:00,21:00:00.000-03:00,,14.825520298408083,,,,,,,,,,,,,,3,,,,900000,,
21:00:00.000-03:00,21:15:00.000-03:00,,14.825520298408083,,,,,,,,,,,,,,,,,,900000,,
21:15:00.000-03:00,21:30:00.000-03:00,,14.825520298408083,,,,,,,,,,,,,,7,,,,900000,,
21:30:00.000-03:00,21:45:00.000-03:00,,14.825519937619756,,,,,,,,,,,,,,69,,,,900000,,
21:45:00.000-03:00,22:00:00.000-03:00,,14.825519621575383,,,,,,,,,,,,,,,,,,900000,,
22:00:00.000-03:00,22:15:00.000-03:00,,14.825519621575383,,,,,,,,,,,,,,,,,,900000,,
22:15:00.000-03:00,22:30:00.000-03:00,,14.825519621575383,,,,,,,,,,,,,,,,,,900000,,
22:30:00.000-03:00,22:45:00.000-03:00,,14.825519621575383,,,,,,,,,,,,,,,,,,900000,,
22:45:00.000-03:00,23:00:00.000-03:00,,14.825519621575383,,,,,,,,,,,,,,17,,,,900000,,
23:00:00.000-03:00,23:15:00.000-03:00,,14.825519621575383,,,,,,,,,,,,,,,,,,900000,,
23:15:00.000-03:00,23:30:00.000-03:00,,19.337392215065222,25.701496124267578,,,,,,,,,,,,,52,,,,796739,103261,
23:30:00.000-03:00,23:45:00.000-03:00,,14.825519993708147,,,,,,,,,,,,,,9,,,,900000,,
23:45:00.000-03:00,00:00:00.000-03:00,,14.825519993708147,,,,,,,,,,,,,,17,,,,900000,,
